time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-29 00:00:00+00:00,17,14,976,107
2023-08-30 00:00:00+00:00,1,1,149,43
2023-08-31 00:00:00+00:00,1,1,109,31
2023-09-01 00:00:00+00:00,4,3,100,12
2023-09-02 00:00:00+00:00,4,3,170,21
2023-09-03 00:00:00+00:00,4,3,125,18
2023-09-04 00:00:00+00:00,2,2,180,35
2023-09-05 00:00:00+00:00,7,3,39,21
2023-09-06 00:00:00+00:00,5,2,39,17
2023-09-07 00:00:00+00:00,2,2,67,11
2023-09-08 00:00:00+00:00,2,2,94,19
2023-09-09 00:00:00+00:00,1,1,44,33
2023-09-10 00:00:00+00:00,1,1,40,18
2023-09-11 00:00:00+00:00,0,0,50,18
2023-09-12 00:00:00+00:00,2,2,114,17
2023-09-13 00:00:00+00:00,1,1,59,27
2023-09-14 00:00:00+00:00,5,4,72,25
2023-09-15 00:00:00+00:00,2,2,95,28
2023-09-16 00:00:00+00:00,1,1,105,12
2023-09-17 00:00:00+00:00,0,0,43,16
2023-09-18 00:00:00+00:00,2,1,72,19
2023-09-19 00:00:00+00:00,2,1,13,8
2023-09-20 00:00:00+00:00,0,0,25,15
2023-09-21 00:00:00+00:00,8,3,100,17
2023-09-22 00:00:00+00:00,2,2,138,13
2023-09-23 00:00:00+00:00,0,0,32,7
2023-09-24 00:00:00+00:00,0,0,61,17
2023-09-25 00:00:00+00:00,1,1,42,13
2023-09-26 00:00:00+00:00,0,0,14,11
2023-09-27 00:00:00+00:00,0,0,130,18
2023-09-28 00:00:00+00:00,3,3,231,18
2023-09-29 00:00:00+00:00,1,1,18,14
2023-09-30 00:00:00+00:00,3,2,43,17
2023-10-01 00:00:00+00:00,0,0,23,9
2023-10-02 00:00:00+00:00,12,1,31,16
2023-10-03 00:00:00+00:00,0,0,8,8
2023-10-04 00:00:00+00:00,12,2,75,24
2023-10-05 00:00:00+00:00,5,4,55,21
2023-10-06 00:00:00+00:00,3,3,44,18
